state,gpc,pop2023,pop2022,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,,GunsPerCapitaTotalRegisteredWeapons
Alabama,36.24,5098746,5074296,5031362,5006199.4,4779736,0.00482,24450,0.06674,,177732
Alaska,32.06,732984,733583,732923,730653.8,710231,-0.00082,-599,0.03204,,23455
Arizona,30.81,7453517,7359197,7179943,7101150.4,6392017,0.01282,94320,0.16607,,224266
Arkansas,34.34,3063152,3045637,3014195,3004367.3,2915918,0.00575,17515,0.05049,,103641
California,9.79,38915693,39029342,39501653,39276883.3,37253956,-0.00291,-113649,0.04461,,386795
Colorado,21.89,5868555,5839926,5784865,5709298.1,5029196,0.0049,28629,0.1669,,126081
Connecticut,21.11,3629055,3626205,3597362,3595035.5,3574097,0.00079,2850,0.01538,,75278
Delaware,5.71,1031985,1018396,992114,982696,897934,0.01334,13589,0.14929,,5565
Florida,23.14,22661577,22244823,21589602,21310772.8,18801310,0.01873,416754,0.20532,,497078
Georgia,23.69,11037723,10912876,10729828,10625610.5,9687653,0.01144,124847,0.13936,,251503
Hawaii,6.49,1433238,1440196,1451043,1441968.8,1360301,-0.00483,-6958,0.05362,,9196
Idaho,38.84,1973752,1939033,1849202,1821040,1567582,0.01791,34719,0.25911,,69405
Illinois,11.85,12477595,12582032,12786580,12790985.2,12830632,-0.0083,-104437,-0.02752,,150212
Indiana,21.24,6852542,6833037,6788799,6758299.3,6483802,0.00285,19505,0.05687,,142961
Iowa,14.77,3203345,3200517,3190571,3176149.4,3046355,0.00088,2828,0.05153,,46613
Kansas,20.86,2936378,2937150,2937919,2929438.9,2853118,-0.00026,-772,0.02918,,60783
Kentucky,22.23,4518031,4512310,4507445,4490637.2,4339367,0.00127,5721,0.04117,,99305
Louisiana,27.41,4553384,4590241,4651664,4639834.8,4533372,-0.00803,-36857,0.00441,,127434
Maine,13.91,1393442,1385340,1363557,1360037.4,1328361,0.00585,8102,0.04899,,18695
Maryland,20.97,6154710,6164660,6173205,6133239.7,5773552,-0.00161,-9950,0.06602,,126767
Massachusetts,5.72,6974258,6981974,6995729,6950919,6547629,-0.00111,-7716,0.06516,,39779
Michigan,9.34,10030722,10034113,10069577,10050983.3,9883640,-0.00034,-3391,0.01488,,93297
Minnesota,19.1,5722897,5717184,5709852,5669259.3,5303925,0.001,5713,0.07899,,107743
Mississippi,23.2,2930528,2940057,2958141,2959056.6,2967297,-0.00324,-9529,-0.01239,,69034
Missouri,16.1,6186091,6177957,6153998,6137490.9,5988927,0.00132,8134,0.03292,,98828
Montana,25.7,1139507,1122867,1087075,1077309,989415,0.01482,16640,0.1517,,27467
Nebraska,17.59,1972292,1967923,1962642,1949011.9,1826341,0.00222,4369,0.07991,,34035
Nevada,34.09,3209142,3177772,3115648,3074138.3,2700551,0.00987,31370,0.18833,,104998
New Hampshire,46.86,1402957,1395231,1378587,1372375.3,1316470,0.00554,7726,0.0657,,63713
New Jersey,10.79,9255437,9261699,9271689,9223709.5,8791894,-0.00068,-6262,0.05272,,95848
New Mexico,55.34,2110011,2113344,2118390,2112468.9,2059179,-0.00158,-3333,0.02469,,116045
New York,4.51,19496810,19677151,20108296,20035276.6,19378102,-0.00916,-180341,0.00613,,87766
North Carolina,18.71,10832061,10698973,10449445,10358048.8,9535483,0.01244,133088,0.13597,,196237
North Dakota,31.97,780588,779261,779518,768825.3,672591,0.0017,1327,0.16057,,24365
Ohio,16.04,11747774,11756058,11797517,11771415.7,11536504,-0.0007,-8284,0.01831,,187478
Oklahoma,22.97,4048375,4019800,3964912,3943555.9,3751351,0.00711,28575,0.07918,,90884
Oregon,19.71,4223973,4240137,4244795,4203422.9,3831074,-0.00381,-16164,0.10256,,83141
Pennsylvania,24.83,12931957,12972008,12994440,12965233.9,12702379,-0.00309,-40051,0.01807,,317858
Rhode Island,4.52,1090483,1093734,1096345,1091967.2,1052567,-0.00297,-3251,0.03602,,4784
South Carolina,20.18,5372002,5282634,5131848,5081199.6,4625364,0.01692,89368,0.16142,,103881
South Dakota,42.37,923484,909824,887799,880437.1,814180,0.01501,13660,0.13425,,37479
Tennessee,19.39,7134327,7051339,6925619,6867667.6,6346105,0.01177,82988,0.12421,,132471
Texas,28.63,30500280,30029572,29232474,28823782.7,25145561,0.01567,470708,0.21295,,830109
Utah,30.43,3422487,3380800,3283785,3231795,2763885,0.01233,41687,0.23829,,97550
Vermont,13.41,647156,647064,642893,641177.8,625741,0.00014,92,0.03422,,8367
Virginia,45.8,8709873,8683619,8636471,8572926.3,8001024,0.00302,26254,0.08859,,390946
Washington,17.96,7830827,7785786,7724031,7624081.9,6724540,0.00579,45041,0.16451,,136731
West Virginia,24.96,1764786,1775156,1791420,1797577.4,1852994,-0.00584,-10370,-0.0476,,44739
Wisconsin,14.3,5904977,5892539,5896271,5875342.5,5686986,0.00211,12438,0.03833,,83236
Wyoming,37.31,583279,581381,577605,576207.1,563626,0.00326,1898,0.03487,,137346
